#   h   min     sec        R_sample/ohm        R_hülle/ohm      U/V        I/mA       
    0   0       0           25.0                25.6            16.18      154.5
    0   2       27.17       27.0                25.9            16.27      155.2
    0   8       6.40        31.3                31.9            16.44      156.6
    0   13      57.08       35.5                35.6            16.54      157.3
    0   20      11.36       39.7                40.0            16.60      157.6
    0   25      33.09       43.8                43.1            16.64      157.8
    0   32      48.79       47.9                47.3            16.66      158.0
    0   39      44.24       52.0                55.7            16.69      158.2
    0   45      56.08       56.1                62.5            16.71      158.3
    0   52      14.91       60.2                60.6            16.72      158.5
    1   0       3.80        64.3                64.9            16.73      158.5
    1   7       35.91       68.3                68.3            16.74      158.5
    1   15      0.98        72.3                71.9            16.75      158.5
    1   22      41.72       76.3                77.2            16.75      158.6
    1   30      42.74       80.3                80.6            16.75      158.6
    1   38      56.25       84.2                81.5            16.75      158.6
    1   47      37.01       88.4                88.5            16.75      158.7
    1   55      1.08        92.1                92.1            16.75      158.7
    2   3       2.76        96.1                96.1            16.75      158.7
    2   11      11.68       100.1               100.8           16.74      158.7
    2   19      15.92       103.9               103.4           16.74      158.6
    2   27      22.57       107.8               107.1           16.74      158.9
    2   35      20.53       111.7               111.7           16.73      158.7
    2   42      45.34       115.5               117.6           16.72      158.7
